FT_ID,lodgeNumber,lodgeType,year,trailLength,season
3348_FT24,3348,Lake,2018,26,springStatus
3348_FT25,3348,Lake,2018,7,springStatus
3348_FT26,3348,Lake,2018,15,springStatus
3348_FT27,3348,Lake,2018,20,springStatus
3348_FT28,3348,Lake,2018,11,springStatus
1282_FT01,1282,Lake,2018,80,springStatus
1282_FT02,1282,Lake,2018,6,springStatus
1282_FT03,1282,Lake,2018,9,springStatus
1282_FT04,1282,Lake,2018,12,springStatus
1282_FT05,1282,Lake,2018,22,springStatus
1282_FT06,1282,Lake,2018,5,springStatus
1282_FT07,1282,Lake,2018,15,springStatus
1282_FT09,1282,Lake,2018,6,springStatus
1282_FT10,1282,Lake,2018,10,springStatus
1282_FT11,1282,Lake,2018,11,springStatus
1282_FT12,1282,Lake,2018,16,springStatus
1282_FT13,1282,Lake,2018,6,springStatus
1282_FT14,1282,Lake,2018,66,springStatus
1282_FT15,1282,Lake,2018,8,springStatus
1282_FT16,1282,Lake,2018,9,springStatus
1282_FT17,1282,Lake,2018,9,springStatus
1282_FT18,1282,Lake,2018,7,springStatus
1107_FT01,1107,Pond,2018,42,springStatus
1107_FT03,1107,Pond,2018,15,springStatus
1107_FT04,1107,Pond,2018,18,springStatus
1107_FT05,1107,Pond,2018,17,springStatus
1107_FT06,1107,Pond,2018,6,springStatus
1107_FT07,1107,Pond,2018,19,springStatus
3569_FT06,3569,Lake,2017,22,summerStatus
3569_FT07,3569,Lake,2017,24,summerStatus
3569_FT08,3569,Lake,2017,27,summerStatus
3569_FT09,3569,Lake,2017,26,summerStatus
3569_FT11,3569,Lake,2017,23,summerStatus
3569_FT12,3569,Lake,2017,19,summerStatus
3569_FT16,3569,Lake,2017,31,summerStatus
3569_FT20,3569,Lake,2017,14,summerStatus
3569_FT23,3569,Lake,2017,12,summerStatus
3569_FT24,3569,Lake,2017,11,summerStatus
3569_FT25,3569,Lake,2017,16,summerStatus
2985_FT02,2985,Pond,2017,17,summerStatus
2985_FT03,2985,Pond,2017,15,summerStatus
2985_FT04,2985,Pond,2017,11,summerStatus
2985_FT05,2985,Pond,2017,27,summerStatus
2985_FT09,2985,Pond,2017,9,summerStatus
2985_FT17,2985,Pond,2017,5,summerStatus
2985_FT18,2985,Pond,2017,3,summerStatus
2985_FT20,2985,Pond,2017,14,summerStatus
2985_FT21,2985,Pond,2017,11,summerStatus
2985_FT22,2985,Pond,2017,17,summerStatus
2985_FT23,2985,Pond,2017,12,summerStatus
2985_FT24,2985,Pond,2017,23,summerStatus
2985_FT25,2985,Pond,2017,18,summerStatus
2985_FT27,2985,Pond,2017,12,summerStatus
2985_FT28,2985,Pond,2017,4,summerStatus
