beavCaptID,camDeployID,lodgeNumber,lodgeType,Season,inOutWater,timeOnLand
8417,389,3224,Pond,Summer,Yes,5
8418,389,3224,Pond,Summer,Yes,4
8419,389,3224,Pond,Summer,Yes,6
8422,389,3224,Pond,Summer,Yes,4
8423,389,3224,Pond,Summer,Yes,8
8425,389,3224,Pond,Summer,Yes,4
8563,413,1152,Pond,Fall,Yes,13
8567,413,1152,Pond,Fall,Yes,1
8568,413,1152,Pond,Fall,Yes,2
8572,414,1152,Pond,Fall,Yes,3
8573,414,1152,Pond,Fall,Yes,2
8575,414,1152,Pond,Fall,Yes,2
8576,414,1152,Pond,Fall,Yes,1
8580,414,1152,Pond,Fall,Yes,3
8581,414,1152,Pond,Fall,Yes,3
9092,416,1152,Pond,Fall,Yes,6
9095,416,1152,Pond,Fall,Yes,4
9096,416,1152,Pond,Fall,Yes,2
9097,416,1152,Pond,Fall,Yes,1
9098,416,1152,Pond,Fall,Yes,2
9099,416,1152,Pond,Fall,Yes,1
9100,416,1152,Pond,Fall,Yes,1
9101,416,1152,Pond,Fall,Yes,1
9102,416,1152,Pond,Fall,Yes,2
9145,430,1519,Lake,Fall,Yes,3
9146,430,1519,Lake,Fall,Yes,2
9147,430,1519,Lake,Fall,Yes,6
9148,430,1519,Lake,Fall,Yes,5
9149,430,1519,Lake,Fall,Yes,3
9150,430,1519,Lake,Fall,Yes,4
9152,430,1519,Lake,Fall,Yes,3
9153,430,1519,Lake,Fall,Yes,3
9155,430,1519,Lake,Fall,Yes,7
9159,432,1519,Lake,Fall,Yes,3
9161,432,1519,Lake,Fall,Yes,5
9355,417,2866,Lake,Fall,Yes,1
9358,417,2866,Lake,Fall,Yes,9
9360,417,2866,Lake,Fall,Yes,8
9363,417,2866,Lake,Fall,Yes,7
9364,417,2866,Lake,Fall,Yes,29
9365,417,2866,Lake,Fall,Yes,30
9368,417,2866,Lake,Fall,Yes,5
9378,417,2866,Lake,Fall,Yes,27
9379,417,2866,Lake,Fall,Yes,3
9384,417,2866,Lake,Fall,Yes,14
9389,418,2866,Lake,Fall,Yes,15
9872,420,2866,Lake,Fall,Yes,13
9874,420,2866,Lake,Fall,Yes,10
9875,420,2866,Lake,Fall,Yes,9
9876,420,2866,Lake,Fall,Yes,8
9877,420,2866,Lake,Fall,Yes,11
9878,420,2866,Lake,Fall,Yes,5
9879,420,2866,Lake,Fall,Yes,9
9880,420,2866,Lake,Fall,Yes,7
9881,420,2866,Lake,Fall,Yes,5
9882,420,2866,Lake,Fall,Yes,3
9883,420,2866,Lake,Fall,Yes,7
9884,420,2866,Lake,Fall,Yes,1
9885,420,2866,Lake,Fall,Yes,2
9886,420,2866,Lake,Fall,Yes,3
9887,420,2866,Lake,Fall,Yes,4
9888,420,2866,Lake,Fall,Yes,4
9889,420,2866,Lake,Fall,Yes,5
9890,420,2866,Lake,Fall,Yes,16
9891,420,2866,Lake,Fall,Yes,15
9892,420,2866,Lake,Fall,Yes,6
9893,420,2866,Lake,Fall,Yes,12
9894,420,2866,Lake,Fall,Yes,27
9895,420,2866,Lake,Fall,Yes,9
9896,420,2866,Lake,Fall,Yes,2
9900,420,2866,Lake,Fall,Yes,12
9901,420,2866,Lake,Fall,Yes,14
9902,420,2866,Lake,Fall,Yes,9
9903,420,2866,Lake,Fall,Yes,5
9904,420,2866,Lake,Fall,Yes,4
9905,420,2866,Lake,Fall,Yes,5
9906,420,2866,Lake,Fall,Yes,5
9907,420,2866,Lake,Fall,Yes,2
9908,420,2866,Lake,Fall,Yes,3
9909,420,2866,Lake,Fall,Yes,2
9911,420,2866,Lake,Fall,Yes,6
9912,420,2866,Lake,Fall,Yes,8
9915,420,2866,Lake,Fall,Yes,3
9916,420,2866,Lake,Fall,Yes,5
9918,420,2866,Lake,Fall,Yes,1
9919,420,2866,Lake,Fall,Yes,2
9923,420,2866,Lake,Fall,Yes,20
9924,420,2866,Lake,Fall,Yes,3
9925,420,2866,Lake,Fall,Yes,11
9926,420,2866,Lake,Fall,Yes,3
9927,420,2866,Lake,Fall,Yes,26
9928,420,2866,Lake,Fall,Yes,20
9931,420,2866,Lake,Fall,Yes,1
9932,420,2866,Lake,Fall,Yes,4
9933,420,2866,Lake,Fall,Yes,2
9934,420,2866,Lake,Fall,Yes,2
9935,420,2866,Lake,Fall,Yes,8
9936,420,2866,Lake,Fall,Yes,11
9937,420,2866,Lake,Fall,Yes,4
9938,420,2866,Lake,Fall,Yes,13
9939,420,2866,Lake,Fall,Yes,5
9940,420,2866,Lake,Fall,Yes,26
9942,420,2866,Lake,Fall,Yes,3
9943,420,2866,Lake,Fall,Yes,3
9944,420,2866,Lake,Fall,Yes,4
9945,420,2866,Lake,Fall,Yes,9
9946,420,2866,Lake,Fall,Yes,6
9948,420,2866,Lake,Fall,Yes,8
9949,420,2866,Lake,Fall,Yes,3
9950,420,2866,Lake,Fall,Yes,4
9951,420,2866,Lake,Fall,Yes,11
9952,420,2866,Lake,Fall,Yes,1
9953,420,2866,Lake,Fall,Yes,3
10318,411,3558,Pond,Fall,Yes,3
10319,411,3558,Pond,Fall,Yes,1
10320,411,3558,Pond,Fall,Yes,4
10321,411,3558,Pond,Fall,Yes,1
10322,411,3558,Pond,Fall,Yes,9
10323,411,3558,Pond,Fall,Yes,1
10326,411,3558,Pond,Fall,Yes,1
10328,411,3558,Pond,Fall,Yes,3
10329,411,3558,Pond,Fall,Yes,6
10331,411,3558,Pond,Fall,Yes,3
10334,411,3558,Pond,Fall,Yes,2
10335,411,3558,Pond,Fall,Yes,7
10337,411,3558,Pond,Fall,Yes,1
10339,411,3558,Pond,Fall,Yes,2
10341,411,3558,Pond,Fall,Yes,2
10346,411,3558,Pond,Fall,Yes,6
10347,411,3558,Pond,Fall,Yes,3
10348,412,3558,Pond,Fall,Yes,5
10349,412,3558,Pond,Fall,Yes,27
10352,412,3558,Pond,Fall,Yes,4
10353,412,3558,Pond,Fall,Yes,2
10354,412,3558,Pond,Fall,Yes,2
10355,412,3558,Pond,Fall,Yes,8
10356,412,3558,Pond,Fall,Yes,6
10357,412,3558,Pond,Fall,Yes,4
10358,412,3558,Pond,Fall,Yes,4
10359,412,3558,Pond,Fall,Yes,5
10360,412,3558,Pond,Fall,Yes,2
10361,412,3558,Pond,Fall,Yes,5
10362,412,3558,Pond,Fall,Yes,11
10363,412,3558,Pond,Fall,Yes,3
10364,412,3558,Pond,Fall,Yes,10
10366,412,3558,Pond,Fall,Yes,1
10367,412,3558,Pond,Fall,Yes,2
10368,412,3558,Pond,Fall,Yes,3
10370,412,3558,Pond,Fall,Yes,4
10371,412,3558,Pond,Fall,Yes,3
10372,412,3558,Pond,Fall,Yes,12
10373,412,3558,Pond,Fall,Yes,21
10374,412,3558,Pond,Fall,Yes,7
10377,412,3558,Pond,Fall,Yes,4
10378,412,3558,Pond,Fall,Yes,4
10379,412,3558,Pond,Fall,Yes,4
10380,412,3558,Pond,Fall,Yes,7
10382,412,3558,Pond,Fall,Yes,4
10383,412,3558,Pond,Fall,Yes,3
